Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5uES1C2NgkdrNHiCwf9jRr,"Baby Love","Where Did Our Love Go","The Supremes",1964-08-31,158040,68,,2024-07-10T05:20:25Z,"classic girl group,classic soul,disco,motown,soul","Motown",0.595,0.643,5,-9.275,1,0.0365,0.757,0,0.538,0.731,135.633,4
3uCkIqD0VzQUijbs8WIizs,"These Days","Chelsea Girl","Nico",1967-10-09,210653,63,,2024-07-10T05:20:25Z,"experimental,melancholia,singer-songwriter","Universal Records",0.401,0.13,5,-17.638,1,0.0312,0.989,0.305,0.101,0.213,93.091,4
4dBI72rgkmG0gTzswyBTzz,"Sweet Thing - 1999 Remaster","Astral Weeks","Van Morrison",1968-11-01,265546,56,,2024-07-10T05:20:25Z,"classic rock,folk,folk rock,mellow gold,rock,singer-songwriter,soft rock","Rhino/Warner Records",0.518,0.385,4,-14.636,1,0.0339,0.23,0.000226,0.124,0.712,86.604,3
6dfhF1BDGmhM69fnCb6wSC,"America","Bookends","Simon & Garfunkel",1968-04-03,215293,61,,2024-07-10T05:20:25Z,"classic rock,folk,folk rock,melancholia,mellow gold,rock,soft rock","Columbia",0.259,0.241,2,-15.955,1,0.042,0.554,0.00000662,0.0849,0.275,178.453,3
3G0EALIIp5DAeIERxXBHmo,"Waterloo Sunset","Something Else (Deluxe)","The Kinks",1967-09-15,194520,64,,2024-07-10T05:20:25Z,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,protopunk,psychedelic rock,rock,singer-songwriter","Castle Communications",0.521,0.691,1,-7.377,0,0.0251,0.0975,0,0.187,0.434,107.707,4
11607FzqoipskTsXrwEHnJ,"Sunday Morning","The Velvet Underground & Nico 45th Anniversary","The Velvet Underground,Nico",1967-03-12,175893,65,,2024-07-10T05:20:25Z,"alternative rock,melancholia,permanent wave,protopunk,rock,experimental,singer-songwriter","Polydor",0.506,0.442,5,-13.268,0,0.0276,0.0869,0.00239,0.0846,0.532,105.833,4
1GLmaPfulP0BrfijohQpN5,"Don't Worry Baby - Remastered 2001","Shut Down, Vol. 2 (Remastered)","The Beach Boys",1964-03-02,169933,66,,2024-07-10T05:20:25Z,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,singer-songwriter,sunshine pop","Capitol Records",0.486,0.465,4,-9.821,1,0.03,0.0666,0.00491,0.105,0.851,121.243,4
6FEKEO3y7QFcMwoGeR0GtU,"Crimson & Clover","Tommy James and The Shondells: Anthology","Tommy James & The Shondells",1989,209800,53,,2024-07-10T05:20:25Z,"bubblegum pop,classic garage rock,classic rock,country rock,folk rock,mellow gold,merseybeat,psychedelic rock,rock-and-roll","Rhino",0.456,0.609,11,-11.767,1,0.0684,0.275,0.0199,0.108,0.682,84.444,4
1udKn1oNKYQSQ9OmiIWCMu,"Do You Believe in Magic?","Do you Believe In Magic","The Lovin' Spoonful",1965-11,125826,68,,2024-07-10T05:20:25Z,"bubblegum pop,classic rock,country rock,folk,folk rock,mellow gold,psychedelic rock,rock-and-roll,soft rock","Buddah",0.553,0.738,0,-7.963,1,0.0457,0.213,0,0.339,0.759,138.602,4
0zGLlXbHlrAyBN1x6sY0rb,"A Sunday Kind Of Love","At Last!","Etta James",1960,196133,72,,2024-07-10T05:20:25Z,"jazz blues,soul,soul blues,torch song,vocal jazz","Geffen*",0.421,0.285,2,-9.43,0,0.0293,0.829,0.00000155,0.233,0.402,85.861,4
72Z17vmmeQKAg8bptWvpVG,"Space Oddity - 2015 Remaster","David Bowie (aka Space Oddity) [2015 Remaster]","David Bowie",1969-11-04,318026,71,,2024-07-10T05:20:25Z,"art rock,classic rock,glam rock,permanent wave,rock","Parlophone UK",0.31,0.403,0,-13.664,1,0.0326,0.0726,0.0000927,0.139,0.466,134.48,4
6dGnYIeXmHdcikdzNNDMm2,"Here Comes The Sun - Remastered 2009","Abbey Road (Remastered)","The Beatles",1969-09-26,185733,85,,2024-07-10T05:20:25Z,"british invasion,classic rock,merseybeat,psychedelic rock,rock","EMI Catalogue",0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.177,4
1tfZtA15BfJHQTUy3dqTKC,"Build Me Up Buttercup - Mono","Baby Now That I've Found You","The Foundations",1967-01-01,180133,79,,2024-07-10T05:20:25Z,"bubblegum pop","Castle Communications",0.64,0.664,0,-4.73,1,0.0289,0.196,0,0.31,0.879,134.002,4
6lFZbCc7pn6Lme1NP7qQqQ,"You Can't Always Get What You Want","Let It Bleed","The Rolling Stones",1969-12-05,448720,67,,2024-07-10T05:20:25Z,"album rock,british invasion,classic rock,rock","ABKCO Music and Records, Inc.",0.32,0.62,0,-9.686,1,0.0594,0.64,0.0000636,0.253,0.472,86.327,4
3NW1YMA8kfNVTzGJCGBS8m,"Both Sides Now","Clouds","Joni Mitchell",1969-05-01,273573,58,,2024-07-10T05:20:25Z,"canadian singer-songwriter,folk,folk rock,singer-songwriter","Reprise",0.621,0.238,6,-10.18,1,0.028,0.925,0.00000122,0.124,0.321,97.211,4
6iGU74CwXuT4XVepjc9Emf,"God Only Knows - Mono","Pet Sounds (Original Mono & Stereo Mix)","The Beach Boys",1966-06-16,173040,61,,2024-07-10T05:20:25Z,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,singer-songwriter,sunshine pop","Capitol Records",0.524,0.487,6,-7.525,0,0.0299,0.253,0,0.0579,0.482,117.108,4
76TZCvJ8GitQ2FA1q5dKu0,"The Boxer","Bridge Over Troubled Water","Simon & Garfunkel",1970-01-26,308520,69,,2024-07-10T05:20:25Z,"classic rock,folk,folk rock,melancholia,mellow gold,rock,soft rock","Columbia",0.439,0.488,11,-14.464,1,0.0615,0.702,0.000339,0.16,0.629,93.017,4
2L93TdW2GMue1H2zlkt30F,"Suzanne","Songs Of Leonard Cohen","Leonard Cohen",1967-12-27,229293,61,,2024-07-10T05:20:25Z,"canadian singer-songwriter,melancholia,permanent wave,singer-songwriter","Columbia",0.409,0.172,6,-16.44,0,0.0389,0.922,0.00112,0.111,0.352,132.151,4
0P7DoyGrr4Wp9w5TotEtUC,"The Weight - Remastered 2000","Music From Big Pink (Remastered)","The Band",1968-07-01,274493,70,,2024-07-10T05:20:25Z,"blues rock,classic canadian rock,classic rock,cosmic american,country rock,folk,folk rock,heartland rock,jam band,mellow gold,rock,roots rock,southern rock,swamp rock","CAPITOL CATALOG MKT (C92)",0.63,0.552,9,-9.28,1,0.0545,0.373,0.0000578,0.103,0.518,143.868,4
4RYwE31p4KflK1h7J7m1Yt,"Spooky (Single Version)","Love Songs","Dusty Springfield",2020-01-31,164933,63,,2024-07-10T05:20:25Z,"adult standards,british invasion,folk rock,soul,vocal jazz","Warner Music Group - X5 Music Group",0.776,0.47,4,-10.308,0,0.0318,0.419,0,0.139,0.963,106.329,4
25yQPHgC35WNnnOUqFhgVR,"Lucy In The Sky With Diamonds - Remastered 2009","Sgt. Pepper's Lonely Hearts Club Band (Remastered)","The Beatles",1967-06-01,208466,65,,2024-07-10T05:20:25Z,"british invasion,classic rock,merseybeat,psychedelic rock,rock","EMI Catalogue",0.311,0.325,2,-9.042,1,0.0283,0.0469,0,0.139,0.668,65.09,1
1qRA5BS78u3gME0loMl9AA,"For What It's Worth","Buffalo Springfield","Buffalo Springfield",1966-12-05,153693,81,,2024-07-10T05:20:25Z,"album rock,blues rock,classic rock,country rock,folk,folk rock,mellow gold,psychedelic rock,rock,soft rock,southern rock","Rhino/Elektra",0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,4
2oF7FZHIJbzjeEXZ3D0Ku4,"Good Vibrations - Remastered 2001","Good Vibrations 40th Anniversary","The Beach Boys",2006-01-01,217746,58,,2024-07-10T05:20:25Z,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,singer-songwriter,sunshine pop","Capitol Records",0.403,0.494,1,-6.888,1,0.0313,0.387,0.00000756,0.147,0.379,132.969,4
52vA3CYKZqZVdQnzRrdZt6,"The Times They Are A-Changin'","The Times They Are A-Changin'","Bob Dylan",1964-01-13,192053,64,,2024-07-10T05:20:25Z,"classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter","Columbia",0.389,0.396,7,-7.999,1,0.0332,0.887,0,0.0828,0.585,171.86,3
3yrSvpt2l1xhsV9Em88Pul,"Brown Eyed Girl","Blowin' Your Mind!","Van Morrison",1967-09,183306,85,,2024-07-10T05:20:25Z,"classic rock,folk,folk rock,mellow gold,rock,singer-songwriter,soft rock","Columbia/Legacy",0.491,0.583,7,-10.964,1,0.0376,0.185,0,0.406,0.908,150.566,4
4Xl2PrS3DJqqSKXCo6Uhv9,"Homeward Bound","Parsley, Sage, Rosemary And Thyme","Simon & Garfunkel",1966-10-10,149613,64,,2024-07-10T05:20:25Z,"classic rock,folk,folk rock,melancholia,mellow gold,rock,soft rock","Columbia/Legacy",0.485,0.378,3,-11.773,1,0.0337,0.831,0,0.103,0.528,92.928,4
6ub8sQIKHkyYK4KlB9gbxh,"Time of the Season - Mono Version","Odessey and Oracle","The Zombies",1968-04-30,214040,68,,2024-07-10T05:20:25Z,"baroque pop,british invasion,classic rock,folk rock,psychedelic rock","Zombies Partners",0.542,0.562,11,-10.727,0,0.0368,0.134,0.00000475,0.411,0.709,116.972,4
0bfvHnWWOeU1U5XeKyVLbW,"Can't Take My Eyes off You","Solo","Frankie Valli",1967,203680,77,,2024-07-10T05:20:25Z,"adult standards,bubblegum pop,lounge,rock-and-roll","Rhino",0.581,0.78,4,-7.053,1,0.0567,0.508,0.0000107,0.0799,0.561,123.711,4
3BQHpFgAp4l80e1XslIjNI,"Yesterday - Remastered 2009","Help! (Remastered)","The Beatles",1965-08-06,125666,78,,2024-07-10T05:20:25Z,"british invasion,classic rock,merseybeat,psychedelic rock,rock","EMI Catalogue",0.332,0.179,5,-11.83,1,0.0326,0.879,0,0.0886,0.315,96.524,4
09Plbz3Ja2gxU9xCsqA5KY,"Sunny Afternoon","Face to Face (Deluxe)","The Kinks",1966-10-28,212946,65,,2024-07-10T05:20:25Z,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,protopunk,psychedelic rock,rock,singer-songwriter","Castle Communications",0.553,0.519,0,-8.056,1,0.0269,0.194,0,0.0667,0.474,123.695,4
3RkQ3UwOyPqpIiIvGVewuU,"Mr. Tambourine Man","Bringing It All Back Home","Bob Dylan",1965-03-22,330533,61,,2024-07-10T05:20:25Z,"classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter","Columbia",0.39,0.31,5,-14.545,1,0.0676,0.794,0,0.379,0.584,177.515,4
0iOZM63lendWRTTeKhZBSC,"Mrs. Robinson - From The Graduate Soundtrack","Bookends","Simon & Garfunkel",1968-04-03,244026,80,,2024-07-10T05:20:25Z,"classic rock,folk,folk rock,melancholia,mellow gold,rock,soft rock","Columbia",0.606,0.457,6,-14.035,0,0.0497,0.713,0.0000253,0.0747,0.813,92.033,4
2CQRYn5cTD2B9a1ONjhTN2,"Wouldn't It Be Nice - Mono","Pet Sounds (Original Mono & Stereo Mix)","The Beach Boys",1966-06-16,145800,49,,2024-07-10T05:20:25Z,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,singer-songwriter,sunshine pop","Capitol Records",0.396,0.687,5,-5.607,1,0.0341,0.725,0.00000105,0.17,0.718,124.261,4
4feXcsElKIVsGwkbnTHAfV,"Somethin' Stupid","The World We Knew","Frank Sinatra,Nancy Sinatra",1967-08,162493,77,,2024-07-10T05:20:25Z,"adult standards,easy listening,lounge,sunshine pop","FRANK SINATRA DIGITAL REPRISE",0.257,0.338,4,-12.902,1,0.0357,0.736,0,0.252,0.544,207.356,4
0D0NwBMfJPoh1sZ61p5Fot,"A Change Is Gonna Come","Ain't That Good News","Sam Cooke",2003,192533,64,,2024-07-10T05:20:25Z,"classic soul,soul,vocal jazz","ABKCO Music & Records, Inc.",0.211,0.386,0,-10.189,0,0.0344,0.775,0,0.303,0.473,172.272,3
3AhXZa8sUQht0UEdBJgpGc,"Like a Rolling Stone","Highway 61 Revisited","Bob Dylan",1965-08-30,369600,71,,2024-07-10T05:20:25Z,"classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter","Columbia",0.482,0.721,0,-6.839,1,0.0321,0.731,0,0.189,0.557,95.263,4
6s6jmTumtDJGOB725jMJ8z,"She's Not There","Begin Here","The Zombies",1965-04-30,146360,65,,2024-07-10T05:20:25Z,"baroque pop,british invasion,classic rock,folk rock,psychedelic rock","Zombies Partners",0.533,0.729,4,-6.976,0,0.046,0.593,0,0.0981,0.905,132.286,4
36AlMHDBFwSsD3FQOy1R81,"Try a Little Tenderness","Complete & Unbelievable: The Otis Redding Dictionary of Soul","Otis Redding",1966-10-15,201733,63,,2024-07-10T05:20:25Z,"classic soul,memphis soul,soul,soul blues,southern soul,vocal jazz","Rhino",0.587,0.133,9,-15.151,0,0.0565,0.186,0.0000226,0.258,0.068,102.938,4
5hffP5gJFe1zByXf7BIeYq,"This Guy's In Love With You","The Beat Of The Brass","Herb Alpert & The Tijuana Brass",1968-05-01,239733,52,,2024-07-10T05:20:25Z,"easy listening,lounge","Herb Alpert Presents",0.635,0.167,1,-12.998,1,0.0403,0.858,0.000999,0.213,0.246,83.767,4
6H3kDe7CGoWYBabAeVWGiD,"Gimme Shelter","Let It Bleed","The Rolling Stones",1969-12-05,270773,76,,2024-07-10T05:20:25Z,"album rock,british invasion,classic rock,rock","ABKCO Music and Records, Inc.",0.634,0.63,1,-8.277,0,0.031,0.447,0.039,0.17,0.489,118.628,4
57460SJgSpCXaRJ9YIYHxy,"Going Up The Country","The Best Of Canned Heat","Canned Heat",1987-01-01,171373,60,,2024-07-10T05:20:25Z,"blues,blues rock,classic rock,country rock,electric blues,folk rock,psychedelic rock,traditional blues","Parlophone Catalogue",0.653,0.239,5,-18.54,0,0.0453,0.806,0.0146,0.132,0.765,80.392,4
4Hhv2vrOTy89HFRcjU3QOx,"At Last","At Last!","Etta James",1960,179693,76,,2024-07-10T05:20:25Z,"jazz blues,soul,soul blues,torch song,vocal jazz","Geffen*",0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,3
745H5CctFr12Mo7cqa1BMH,"My Girl","The Temptations Sing Smokey","The Temptations",1965-03-22,165000,81,,2024-07-10T05:20:25Z,"classic soul,disco,memphis soul,motown,soul","UNI/MOTOWN",0.574,0.418,0,-10.739,1,0.0345,0.636,0,0.0961,0.692,104.57,4
4vju55Ag7apDL2CfotuE7Q,"Sunny","Sunny","Bobby Hebb",1966-01-01,165066,68,,2024-07-10T05:20:25Z,"northern soul","Hip-O Select",0.714,0.338,4,-10.994,0,0.0456,0.93,0.00644,0.389,0.667,128.385,4
3g2fYZW5v2od8KIF7VktT0,"Scarborough Fair / Canticle","Parsley, Sage, Rosemary And Thyme","Simon & Garfunkel",1966-10-10,190346,59,,2024-07-10T05:20:25Z,"classic rock,folk,folk rock,melancholia,mellow gold,rock,soft rock","Columbia/Legacy",0.336,0.248,2,-15.626,1,0.0324,0.65,0,0.113,0.298,128.548,3
0WVTQp3SOCuMr08jh1jweV,"Bring It On Home to Me","The Man Who Invented Soul","Sam Cooke",2000-09-26,162533,62,,2024-07-10T05:20:25Z,"classic soul,soul,vocal jazz","RCA Records Label",0.523,0.402,0,-8.233,1,0.0305,0.778,0,0.432,0.675,70.863,4
4uYwlMp841PLJmj1gJJwIq,"Lay, Lady, Lay","Nashville Skyline","Bob Dylan",1969-04-09,197093,61,,2024-07-10T05:20:25Z,"classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter","Columbia",0.52,0.179,11,-21.976,0,0.0454,0.356,0.00344,0.131,0.407,155.746,4
4kP69y3GKHi9tXckfgp4bK,"For Once In My Life","For Once In My Life","Stevie Wonder",1968-12-01,169800,74,,2024-07-10T05:20:25Z,"motown,soul","Motown",0.524,0.519,6,-11.903,1,0.043,0.195,0,0.523,0.847,110.121,4
6krYiEjgGJaMJMTjW7OJ7L,"Groovin'","Oldies 60's","The Young Rascals",2017-08-10,151289,38,,2024-07-10T05:20:25Z,"bubblegum pop,classic garage rock,country rock,folk rock,merseybeat,psychedelic rock,rock-and-roll,singer-songwriter","Warner Music Group - X5 Music Group",0.605,0.455,5,-8.903,0,0.0301,0.595,0,0.0816,0.678,106.825,4
5DTOOkooKFUvWj1XQTFa09,"The End of the World","The Essential Skeeter Davis","Skeeter Davis",1994-05-23,157573,66,,2024-07-10T05:20:25Z,"nashville sound","RCA Records Label Nashville",0.232,0.216,10,-10.674,1,0.0314,0.936,0.00000493,0.246,0.432,94.268,3
617BX2z1ctbswU1xjU3LRW,"I Wish I Knew How It Would Feel to Be Free","The Very Best Of Nina Simone 1967-1972 - Sugar In My Bowl","Nina Simone",1998-07-28,188893,40,,2024-07-10T05:20:25Z,"jazz blues,neo soul,soul,soul jazz,torch song,vocal jazz","RCA Records Label",0.654,0.483,10,-10.028,1,0.0509,0.709,0,0.102,0.604,120.673,4
3c06k9x6MHHdPQi3ix68yF,"Daydream","Daydream","The Lovin' Spoonful",1966-03,139093,60,,2024-07-10T05:20:25Z,"bubblegum pop,classic rock,country rock,folk,folk rock,mellow gold,psychedelic rock,rock-and-roll,soft rock","Buddah",0.822,0.332,1,-11.369,1,0.0506,0.834,0,0.11,0.834,110.802,4
0xGSeBsG4V8Scc5YqpZQ66,"Maybe","I Got Dem Ol' Kozmic Blues Again Mama!","Janis Joplin",1969-09-11,219133,59,,2024-07-10T05:20:25Z,"album rock,classic rock,hard rock,psychedelic rock,rock","Columbia/Legacy",0.4,0.35,8,-11.401,1,0.0345,0.227,0.0397,0.103,0.328,83.389,4
18GiV1BaXzPVYpp9rmOg0E,"Blowin' in the Wind","The Freewheelin' Bob Dylan","Bob Dylan",1963-05-27,165426,66,,2024-07-10T05:20:25Z,"classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter","Columbia",0.38,0.0993,2,-20.567,1,0.0509,0.914,0.0000232,0.0605,0.44,174.874,4
1Jmqubf9kGkWeYQXQKImL5,"People Are Strange","Strange Days","The Doors",1967-09-25,130173,75,,2024-07-10T05:20:25Z,"acid rock,album rock,classic rock,hard rock,psychedelic rock,rock","Rhino/Elektra",0.699,0.467,4,-8.578,0,0.0375,0.685,0,0.315,0.764,119.287,4
3t7VYEzgcTDWXpEmHQAOVs,"B-A-B-Y (From Baby Driver)","B-A-B-Y","Carla Thomas",2017-07-14,173453,32,,2024-07-10T05:20:25Z,"memphis soul,soul,southern soul","Warner Music Group - X5 Music Group",0.709,0.45,8,-7.047,1,0.0354,0.329,0.00000117,0.0873,0.645,113.69,4
4hupcimlg3UBbW1kAQ6vrT,"Ruby Tuesday","Between The Buttons","The Rolling Stones",1967-01-20,196493,65,,2024-07-10T05:20:25Z,"album rock,british invasion,classic rock,rock","ABKCO Music and Records, Inc.",0.524,0.553,0,-10.767,1,0.0292,0.831,0,0.174,0.517,104.578,4
6V9VCm1zOY2lGR80RehJ9i,"Wichita Lineman - Remastered 2001","Wichita Lineman (Remastered)","Glen Campbell",1968,186200,60,,2024-07-10T05:20:25Z,"adult standards,arkansas country,classic country pop,folk rock,mellow gold,nashville sound,singer-songwriter,soft rock","Capitol Nashville",0.192,0.392,5,-11.667,1,0.0327,0.326,0.000199,0.248,0.392,172.312,4
1JO1xLtVc8mWhIoE3YaCL0,"Happy Together","Happy Together","The Turtles",1967,176293,76,,2024-07-10T05:20:25Z,"bubblegum pop,classic rock,folk rock,merseybeat,psychedelic rock,rock-and-roll,rockabilly","Flo & Eddie, Inc.",0.584,0.367,6,-9.638,0,0.0328,0.55,0.0000138,0.0818,0.588,120.175,4
252YuUdUaC5OojaBU0H1CP,"Come A Little Bit Closer","Come A Little Bit Closer: The Best Of Jay & The Americans","Jay & The Americans",1964,166666,60,,2024-07-10T05:20:25Z,"bubblegum pop,classic garage rock,doo-wop,merseybeat,rock-and-roll","Capitol Records",0.636,0.684,3,-9.302,1,0.057,0.52,0.0015,0.534,0.881,132.509,4
0Wd52AHQrrwwDbqVQF2dt6,"Everybody Loves Somebody","The Essential Dean Martin","Dean Martin",2014-10-10,164453,42,,2024-07-10T05:20:25Z,"adult standards,easy listening,lounge,vocal jazz","Legacy Recordings",0.5,0.413,3,-12.254,1,0.0366,0.857,0,0.352,0.462,119.199,3
7xdLNxZCtY68x5MAOBEmBq,"All Along the Watchtower","Experience Hendrix: The Best Of Jimi Hendrix","Jimi Hendrix",1997-09-16,238626,53,,2024-07-10T05:20:25Z,"acid rock,album rock,alternative rock,classic rock,hard rock,proto-metal,psychedelic rock,rock","Legacy Recordings",0.429,0.812,8,-6.252,1,0.0657,0.00282,0.0000244,0.0882,0.625,113.279,4
1kPBT8S2wJFNAyBMnGVZgL,"I'd Rather Go Blind","Tell Mama","Etta James",1968-04-18,156653,77,,2024-07-10T05:20:25Z,"jazz blues,soul,soul blues,torch song,vocal jazz","Geffen",0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,3
4vpeKl0vMGdAXpZiQB2Dtd,"White Rabbit","Surrealistic Pillow","Jefferson Airplane",1967,150640,65,,2024-07-10T05:20:25Z,"acid rock,album rock,blues rock,classic rock,folk rock,hard rock,mellow gold,psychedelic rock,rock,singer-songwriter","RCA/BMG Heritage",0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798,4
0QwZfbw26QeUoIy82Z2jYp,"Good Times Bad Times - 1993 Remaster","Led Zeppelin","Led Zeppelin",1969-01-12,166266,68,,2024-07-10T05:20:25Z,"album rock,classic rock,hard rock,rock","Rhino Atlantic",0.476,0.717,9,-9.192,1,0.0949,0.0382,0.0000761,0.0818,0.753,93.584,4
1WN4uNclrDuczTO3bCr8s1,"Be My Baby","Presenting the Fabulous Ronettes Featuring Veronica","The Ronettes",1964-11-01,160906,75,,2024-07-10T05:20:25Z,"brill building pop,classic girl group,motown,rock-and-roll","Legacy Recordings",0.512,0.771,4,-7.006,1,0.0402,0.168,0,0.0895,0.803,129.639,4
7uEcCGtM1FBBGIhPozhJjv,"Daydream Believer","The Birds, The Bees, & The Monkees","The Monkees",1968-04-22,179613,67,,2024-07-10T05:20:25Z,"album rock,beatlesque,bubblegum pop,classic rock,folk rock,mellow gold,rock,rock-and-roll,singer-songwriter,soft rock,sunshine pop","Rhino",0.51,0.488,7,-10.304,1,0.0304,0.256,0,0.11,0.649,125.683,4
6FRwDxXsvSasw0y2eDArsz,"Sunshine Of Your Love","Disraeli Gears","Cream",1967-11-02,250000,61,,2024-07-10T05:20:25Z,"album rock,blues rock,british blues,classic rock,folk rock,hard rock,psychedelic rock,rock,singer-songwriter,supergroup","Universal International Music B.V.",0.684,0.481,2,-12.59,1,0.0384,0.475,0.0000657,0.118,0.784,115.078,4
1jcPcDu2YawPfLhwjYnqK2,"Everybody's Talkin' - From Midnight Cowboy","Aerial Ballet","Harry Nilsson",1968-07-01,163586,64,,2024-07-10T05:20:25Z,"classic rock,folk,folk rock,singer-songwriter","RCA/Legacy",0.437,0.349,4,-15.569,1,0.0381,0.338,0.0000523,0.417,0.683,125.006,4
6y5eBHh57iYViDkK4Hn6R7,"Black Magic Woman - 2018 Master","The Pious Bird of Good Omen","Fleetwood Mac",1969-08-15,172693,52,,2024-07-10T05:20:25Z,"album rock,classic rock,rock,soft rock,yacht rock","Blue Horizon Records",0.457,0.412,7,-11.138,0,0.0369,0.0516,0.0000435,0.275,0.44,129.423,4
1mfV2kv9RwFKVI8kEQlmOJ,"All Day and All of the Night","Kinks (Deluxe Edition)","The Kinks",1964-02-02,142226,67,,2024-07-10T05:20:25Z,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,protopunk,psychedelic rock,rock,singer-songwriter","Castle Communications",0.563,0.915,7,-5.062,1,0.08,0.247,0.0000846,0.0613,0.71,136.345,4
